Archive_Date,Specialty_HIPE,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
31-01-2021,2000,Plastic Surgery,Child,0-15,18 Months +,264
31-01-2021,2000,Plastic Surgery,Child,16-64, 0-3 Months,3
31-01-2021,0,Small Volume Specialities,Child,0-15, 6-9 Months,2
31-01-2021,601,Paediatric ENT,Child,0-15, 9-12 Months,634
31-01-2021,601,Paediatric ENT,Child,16-64,18 Months +,130
31-01-2021,1302,Paediatric Neurology,Child,16-64, 9-12 Months,2
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15, 0-3 Months,21
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15, 6-9 Months,4
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15,15-18 Months,3
31-01-2021,1402,Paediatric Neurosurgery,Child,0-15,18 Months +,7
31-01-2021,1402,Paediatric Neurosurgery,Child,16-64, 0-3 Months,5
31-01-2021,1402,Paediatric Neurosurgery,Child,16-64, 3-6 Months,4
31-01-2021,1503,Gynaecology,Child,0-15, 3-6 Months,46
31-01-2021,1503,Gynaecology,Child,0-15,12-15 Months,6
31-01-2021,1503,Gynaecology,Child,0-15,18 Months +,4
31-01-2021,1503,Gynaecology,Child,16-64, 0-3 Months,2
31-01-2021,1503,Gynaecology,Child,16-64, 6-9 Months,3
31-01-2021,1700,Ophthalmology,Child,0-15,18 Months +,1677
31-01-2021,1700,Ophthalmology,Child,16-64, 0-3 Months,10
31-01-2021,1700,Ophthalmology,Child,16-64,15-18 Months,1
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 0-3 Months,668
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 3-6 Months,613
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 3-6 Months,22
31-01-2021,1802,Paed Orthopaedic,Child,16-64, 6-9 Months,12
31-01-2021,1802,Paed Orthopaedic,Child,16-64,12-15 Months,21
31-01-2021,1802,Paed Orthopaedic,Child,16-64,15-18 Months,27
31-01-2021,1900,Paediatrics,Child,0-15, 9-12 Months,194
31-01-2021,1900,Paediatrics,Child,16-64, 9-12 Months,8
31-01-2021,1902,Paed Cardiology,Child,0-15, 6-9 Months,368
31-01-2021,1902,Paed Cardiology,Child,0-15,15-18 Months,50
31-01-2021,1902,Paed Cardiology,Child,16-64, 3-6 Months,21
31-01-2021,1903,Paed Oncology,Child,0-15, 0-3 Months,1
31-01-2021,1903,Paed Oncology,Child,0-15, 3-6 Months,1
31-01-2021,1903,Paed Oncology,Child,0-15, 6-9 Months,3
31-01-2021,1905,Paed Endocrinology,Child,0-15, 0-3 Months,160
31-01-2021,1905,Paed Endocrinology,Child,0-15, 6-9 Months,60
31-01-2021,1905,Paed Endocrinology,Child,0-15,15-18 Months,59
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 3-6 Months,147
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15,15-18 Months,64
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 9-12 Months,5
31-01-2021,1907,Paed Haematology,Child,0-15, 0-3 Months,69
31-01-2021,1907,Paed Haematology,Child,0-15, 3-6 Months,55
31-01-2021,1907,Paed Haematology,Child,0-15,12-15 Months,13
31-01-2021,1907,Paed Haematology,Child,16-64, 6-9 Months,3
31-01-2021,1907,Paed Haematology,Child,16-64,15-18 Months,1
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 0-3 Months,31
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 3-6 Months,18
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15, 6-9 Months,30
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15,12-15 Months,25
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15,15-18 Months,6
31-01-2021,1909,Paediatric Infectious Diseases,Child,16-64,12-15 Months,2
31-01-2021,1910,Paed Metabolic Medicine,Child,0-15, 9-12 Months,2
31-01-2021,1911,Paed Nephrology,Child,0-15, 0-3 Months,171
31-01-2021,1911,Paed Nephrology,Child,0-15, 3-6 Months,111
31-01-2021,601,Paediatric ENT,Child,0-15,18 Months +,1835
31-01-2021,601,Paediatric ENT,Child,16-64, 0-3 Months,6
31-01-2021,601,Paediatric ENT,Child,16-64, 3-6 Months,11
31-01-2021,601,Paediatric ENT,Child,16-64, 9-12 Months,13
31-01-2021,601,Paediatric ENT,Child,16-64,12-15 Months,37
31-01-2021,1302,Paediatric Neurology,Child,0-15, 0-3 Months,325
31-01-2021,1302,Paediatric Neurology,Child,0-15, 3-6 Months,106
31-01-2021,1302,Paediatric Neurology,Child,0-15, 6-9 Months,29
31-01-2021,1302,Paediatric Neurology,Child,0-15, 9-12 Months,25
31-01-2021,1302,Paediatric Neurology,Child,0-15,12-15 Months,27
31-01-2021,1302,Paediatric Neurology,Child,16-64,12-15 Months,3
31-01-2021,1402,Paediatric Neurosurgery,Child,16-64, 9-12 Months,1
31-01-2021,1503,Gynaecology,Child,0-15,15-18 Months,2
31-01-2021,1700,Ophthalmology,Child,0-15, 0-3 Months,623
31-01-2021,1700,Ophthalmology,Child,0-15, 3-6 Months,368
31-01-2021,1700,Ophthalmology,Child,0-15, 6-9 Months,173
31-01-2021,1700,Ophthalmology,Child,0-15, 9-12 Months,247
31-01-2021,1700,Ophthalmology,Child,0-15,12-15 Months,258
31-01-2021,1700,Ophthalmology,Child,16-64, 3-6 Months,2
31-01-2021,1700,Ophthalmology,Child,16-64, 6-9 Months,1
31-01-2021,1700,Ophthalmology,Child,16-64,12-15 Months,3
31-01-2021,1802,Paed Orthopaedic,Child,0-15, 6-9 Months,398
31-01-2021,1802,Paed Orthopaedic,Child,0-15,12-15 Months,402
31-01-2021,1900,Paediatrics,Child,0-15, 3-6 Months,790
31-01-2021,1900,Paediatrics,Child,0-15, 6-9 Months,425
31-01-2021,1900,Paediatrics,Child,0-15,12-15 Months,159
31-01-2021,1902,Paed Cardiology,Child,16-64,15-18 Months,9
31-01-2021,1904,Neonatology,Child,0-15, 6-9 Months,1
31-01-2021,1905,Paed Endocrinology,Child,0-15, 3-6 Months,121
31-01-2021,1905,Paed Endocrinology,Child,0-15,12-15 Months,75
31-01-2021,1905,Paed Endocrinology,Child,0-15,18 Months +,45
31-01-2021,1905,Paed Endocrinology,Child,16-64, 0-3 Months,8
31-01-2021,1905,Paed Endocrinology,Child,16-64, 3-6 Months,7
31-01-2021,1905,Paed Endocrinology,Child,16-64, 6-9 Months,2
31-01-2021,1905,Paed Endocrinology,Child,16-64, 9-12 Months,6
31-01-2021,1905,Paed Endocrinology,Child,16-64,12-15 Months,7
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 0-3 Months,264
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 6-9 Months,61
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15, 9-12 Months,74
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15,12-15 Months,61
31-01-2021,1906,Paed Gastro-Enterol,Child,0-15,18 Months +,458
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 0-3 Months,4
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 3-6 Months,7
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64, 6-9 Months,1
31-01-2021,1906,Paed Gastro-Enterol,Child,16-64,12-15 Months,3
31-01-2021,1907,Paed Haematology,Child,0-15, 9-12 Months,32
31-01-2021,1907,Paed Haematology,Child,0-15,15-18 Months,4
31-01-2021,1907,Paed Haematology,Child,0-15,18 Months +,18
31-01-2021,1907,Paed Haematology,Child,16-64, 0-3 Months,2
31-01-2021,1907,Paed Haematology,Child,16-64, 3-6 Months,2
31-01-2021,1909,Paediatric Infectious Diseases,Child,0-15,18 Months +,6
31-01-2021,1909,Paediatric Infectious Diseases,Child,16-64, 9-12 Months,1
31-01-2021,2500,Rheumatology,Child,16-64, 3-6 Months,2
31-01-2021,2500,Rheumatology,Child,16-64, 6-9 Months,3
31-01-2021,2500,Rheumatology,Child,16-64,12-15 Months,7
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 0-3 Months,149
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 9-12 Months,127
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15,18 Months +,607
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 3-6 Months,39
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 6-9 Months,38
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64,12-15 Months,55
31-01-2021,7000,Dental Surgery,Child,16-64, 9-12 Months,3
31-01-2021,7000,Dental Surgery,Child,16-64,18 Months +,11
31-01-2021,7200,Paediatric Surgery,Child,16-64,15-18 Months,26
31-01-2021,7803,Paediatric Urology,Child,0-15, 0-3 Months,205
31-01-2021,7803,Paediatric Urology,Child,0-15, 3-6 Months,172
31-01-2021,7803,Paediatric Urology,Child,0-15, 6-9 Months,105
31-01-2021,7803,Paediatric Urology,Child,0-15, 9-12 Months,113
31-01-2021,7803,Paediatric Urology,Child,0-15,12-15 Months,150
31-01-2021,7803,Paediatric Urology,Child,16-64,12-15 Months,1
31-01-2021,7900,Clinical Immunology,Child,0-15, 0-3 Months,159
31-01-2021,7900,Clinical Immunology,Child,0-15, 9-12 Months,77
31-01-2021,7900,Clinical Immunology,Child,0-15,18 Months +,989
31-01-2021,7900,Clinical Immunology,Child,16-64, 3-6 Months,1
31-01-2021,7900,Clinical Immunology,Child,16-64,12-15 Months,2
31-01-2021,8004,Paediatric Anaesthetics,Child,0-15,18 Months +,34
31-01-2021,8004,Paediatric Anaesthetics,Child,16-64, 0-3 Months,3
31-01-2021,0,Small Volume Specialities,Adult,16-64, 0-3 Months,1
31-01-2021,100,Cardiology,Adult,16-64, 3-6 Months,102
31-01-2021,100,Cardiology,Adult,16-64, 6-9 Months,77
31-01-2021,100,Cardiology,Adult,16-64, 9-12 Months,107
31-01-2021,100,Cardiology,Adult,16-64,12-15 Months,125
31-01-2021,300,Dermatology,Adult,16-64, 3-6 Months,213
31-01-2021,300,Dermatology,Adult,16-64, 6-9 Months,114
31-01-2021,300,Dermatology,Adult,16-64,12-15 Months,117
31-01-2021,1100,Haematology,Adult,16-64, 0-3 Months,39
31-01-2021,1100,Haematology,Adult,16-64, 3-6 Months,31
31-01-2021,1100,Haematology,Adult,16-64, 9-12 Months,12
31-01-2021,1100,Haematology,Adult,16-64,12-15 Months,12
31-01-2021,1100,Haematology,Adult,65+, 6-9 Months,11
31-01-2021,1300,Neurology,Adult,16-64, 0-3 Months,19
31-01-2021,1300,Neurology,Adult,16-64, 9-12 Months,16
31-01-2021,1300,Neurology,Adult,65+, 6-9 Months,2
31-01-2021,1300,Neurology,Adult,65+,12-15 Months,3
31-01-2021,1800,Orthopaedics,Adult,65+, 0-3 Months,99
31-01-2021,1800,Orthopaedics,Adult,65+, 6-9 Months,86
31-01-2021,1800,Orthopaedics,Adult,65+, 9-12 Months,91
31-01-2021,1800,Orthopaedics,Adult,65+,18 Months +,250
31-01-2021,2500,Rheumatology,Adult,16-64,15-18 Months,23
31-01-2021,2500,Rheumatology,Adult,65+, 3-6 Months,17
31-01-2021,2500,Rheumatology,Adult,65+,12-15 Months,7
31-01-2021,2500,Rheumatology,Adult,65+,18 Months +,81
31-01-2021,2600,General Surgery,Adult,65+,15-18 Months,3
31-01-2021,5000,General Medicine,Adult,16-64, 9-12 Months,157
31-01-2021,2000,Plastic Surgery,Child,16-64, 3-6 Months,5
31-01-2021,2000,Plastic Surgery,Child,16-64,12-15 Months,15
31-01-2021,2102,Child/Adolescent Psychiatry,Child,0-15, 0-3 Months,23
31-01-2021,2102,Child/Adolescent Psychiatry,Child,16-64,12-15 Months,1
31-01-2021,2500,Rheumatology,Child,0-15, 3-6 Months,92
31-01-2021,2500,Rheumatology,Child,0-15, 6-9 Months,50
31-01-2021,2500,Rheumatology,Child,0-15,12-15 Months,72
31-01-2021,2500,Rheumatology,Child,0-15,15-18 Months,57
31-01-2021,2500,Rheumatology,Child,16-64, 9-12 Months,8
31-01-2021,2500,Rheumatology,Child,16-64,15-18 Months,13
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 0-3 Months,1
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 3-6 Months,2
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 6-9 Months,11
31-01-2021,6200,Clinical Neurophysiology,Child,0-15,12-15 Months,3
31-01-2021,6200,Clinical Neurophysiology,Child,16-64, 0-3 Months,2
31-01-2021,6200,Clinical Neurophysiology,Child,16-64, 3-6 Months,1
31-01-2021,6200,Clinical Neurophysiology,Child,16-64,12-15 Months,1
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 3-6 Months,153
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15, 6-9 Months,97
31-01-2021,6700,Clinical (Medical) Genetics,Child,0-15,12-15 Months,138
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 9-12 Months,47
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64,15-18 Months,36
31-01-2021,7000,Dental Surgery,Child,0-15, 9-12 Months,69
31-01-2021,7200,Paediatric Surgery,Child,0-15, 9-12 Months,422
31-01-2021,7200,Paediatric Surgery,Child,16-64,18 Months +,26
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15, 0-3 Months,44
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15,18 Months +,7
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64, 0-3 Months,3
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64, 3-6 Months,3
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64, 6-9 Months,2
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64,12-15 Months,1
31-01-2021,7803,Paediatric Urology,Child,0-15,18 Months +,349
31-01-2021,7803,Paediatric Urology,Child,16-64, 0-3 Months,2
31-01-2021,7803,Paediatric Urology,Child,16-64, 6-9 Months,1
31-01-2021,7803,Paediatric Urology,Child,16-64,15-18 Months,1
31-01-2021,7900,Clinical Immunology,Child,0-15, 3-6 Months,86
31-01-2021,7900,Clinical Immunology,Child,0-15, 6-9 Months,43
31-01-2021,7900,Clinical Immunology,Child,0-15,12-15 Months,120
31-01-2021,7900,Clinical Immunology,Child,16-64,15-18 Months,2
31-01-2021,8003,Pain Relief,Child,0-15, 9-12 Months,3
31-01-2021,8004,Paediatric Anaesthetics,Child,16-64,18 Months +,14
31-01-2021,8800,Immunology,Child,0-15, 9-12 Months,32
31-01-2021,8800,Immunology,Child,16-64, 9-12 Months,1
31-01-2021,0,Small Volume Specialities,Adult,65+, 0-3 Months,4
31-01-2021,100,Cardiology,Adult,65+,18 Months +,189
31-01-2021,300,Dermatology,Adult,16-64, 0-3 Months,230
31-01-2021,300,Dermatology,Adult,65+, 6-9 Months,48
31-01-2021,300,Dermatology,Adult,65+,12-15 Months,35
31-01-2021,300,Dermatology,Adult,65+,15-18 Months,28
31-01-2021,300,Dermatology,Child,0-15, 0-3 Months,1
31-01-2021,300,Dermatology,Child,0-15, 3-6 Months,2
31-01-2021,1911,Paed Nephrology,Child,0-15,12-15 Months,25
31-01-2021,1911,Paed Nephrology,Child,0-15,15-18 Months,31
31-01-2021,1911,Paed Nephrology,Child,16-64, 6-9 Months,2
31-01-2021,1912,Paediatric Respiratory Medicine,Child,16-64,18 Months +,41
31-01-2021,1915,Paediatric Dermatology,Child,0-15, 3-6 Months,503
31-01-2021,1915,Paediatric Dermatology,Child,0-15,12-15 Months,298
31-01-2021,1915,Paediatric Dermatology,Child,16-64, 9-12 Months,17
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 0-3 Months,81
31-01-2021,1916,Developmental Paediatrics,Child,0-15, 3-6 Months,49
31-01-2021,1916,Developmental Paediatrics,Child,0-15,12-15 Months,54
31-01-2021,1916,Developmental Paediatrics,Child,16-64,15-18 Months,2
31-01-2021,2000,Plastic Surgery,Child,0-15, 9-12 Months,167
31-01-2021,2000,Plastic Surgery,Child,0-15,15-18 Months,141
31-01-2021,2000,Plastic Surgery,Child,16-64, 9-12 Months,7
31-01-2021,2102,Child/Adolescent Psychiatry,Child,0-15, 9-12 Months,2
31-01-2021,2500,Rheumatology,Child,16-64,18 Months +,196
31-01-2021,6200,Clinical Neurophysiology,Child,0-15, 9-12 Months,10
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64, 0-3 Months,52
31-01-2021,6700,Clinical (Medical) Genetics,Child,16-64,18 Months +,216
31-01-2021,6700,Clinical (Medical) Genetics,Child,65+, 3-6 Months,2
31-01-2021,6700,Clinical (Medical) Genetics,Child,65+,12-15 Months,2
31-01-2021,6700,Clinical (Medical) Genetics,Child,65+,15-18 Months,3
31-01-2021,7000,Dental Surgery,Child,0-15, 0-3 Months,65
31-01-2021,7000,Dental Surgery,Child,0-15, 6-9 Months,29
31-01-2021,7000,Dental Surgery,Child,0-15,15-18 Months,39
31-01-2021,7000,Dental Surgery,Child,0-15,18 Months +,144
31-01-2021,7000,Dental Surgery,Child,16-64, 3-6 Months,2
31-01-2021,7000,Dental Surgery,Child,16-64,12-15 Months,8
31-01-2021,7200,Paediatric Surgery,Child,0-15, 0-3 Months,1029
31-01-2021,7200,Paediatric Surgery,Child,0-15, 3-6 Months,848
31-01-2021,7200,Paediatric Surgery,Child,0-15, 6-9 Months,544
31-01-2021,7200,Paediatric Surgery,Child,0-15,12-15 Months,331
31-01-2021,7200,Paediatric Surgery,Child,0-15,15-18 Months,307
31-01-2021,7200,Paediatric Surgery,Child,16-64, 6-9 Months,11
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15, 9-12 Months,10
31-01-2021,7600,Cardio-Thoracic Surgery,Child,0-15,15-18 Months,3
31-01-2021,7600,Cardio-Thoracic Surgery,Child,16-64, 9-12 Months,2
31-01-2021,7803,Paediatric Urology,Child,16-64, 9-12 Months,1
31-01-2021,7900,Clinical Immunology,Child,16-64, 0-3 Months,3
31-01-2021,7900,Clinical Immunology,Child,16-64,18 Months +,71
31-01-2021,8003,Pain Relief,Child,0-15, 3-6 Months,7
31-01-2021,8003,Pain Relief,Child,0-15, 6-9 Months,3
31-01-2021,8003,Pain Relief,Child,0-15,12-15 Months,3
31-01-2021,8004,Paediatric Anaesthetics,Child,0-15, 0-3 Months,10
31-01-2021,8004,Paediatric Anaesthetics,Child,0-15, 3-6 Months,2
31-01-2021,8004,Paediatric Anaesthetics,Child,0-15, 6-9 Months,7
31-01-2021,8004,Paediatric Anaesthetics,Child,0-15,15-18 Months,2
31-01-2021,8004,Paediatric Anaesthetics,Child,16-64, 3-6 Months,3
31-01-2021,8800,Immunology,Child,0-15, 0-3 Months,62
31-01-2021,8800,Immunology,Child,0-15, 3-6 Months,40
31-01-2021,8800,Immunology,Child,0-15, 6-9 Months,13
31-01-2021,1100,Haematology,Adult,16-64, 6-9 Months,18
31-01-2021,1100,Haematology,Adult,16-64,15-18 Months,11
31-01-2021,1100,Haematology,Adult,65+, 9-12 Months,5
31-01-2021,1300,Neurology,Adult,16-64, 3-6 Months,21
31-01-2021,1300,Neurology,Adult,16-64, 6-9 Months,14
31-01-2021,1300,Neurology,Adult,16-64,12-15 Months,26
31-01-2021,1300,Neurology,Adult,16-64,15-18 Months,17
31-01-2021,1800,Orthopaedics,Adult,16-64, 9-12 Months,212
31-01-2021,2500,Rheumatology,Adult,65+, 9-12 Months,13
31-01-2021,2600,General Surgery,Adult,16-64, 9-12 Months,7
31-01-2021,2600,General Surgery,Adult,65+, 0-3 Months,94
31-01-2021,2600,General Surgery,Adult,65+, 3-6 Months,67
31-01-2021,2600,General Surgery,Child,0-15, 0-3 Months,3
31-01-2021,5000,General Medicine,Adult,16-64, 0-3 Months,405
31-01-2021,5000,General Medicine,Adult,16-64, 3-6 Months,327
31-01-2021,5000,General Medicine,Adult,16-64, 6-9 Months,202
31-01-2021,5000,General Medicine,Adult,16-64,12-15 Months,168
31-01-2021,5000,General Medicine,Adult,16-64,15-18 Months,159
31-01-2021,5000,General Medicine,Adult,65+, 9-12 Months,71
31-01-2021,8000,Anaesthetics,Adult,16-64, 3-6 Months,13
31-01-2021,8000,Anaesthetics,Adult,16-64,12-15 Months,7
31-01-2021,8000,Anaesthetics,Adult,16-64,18 Months +,52
31-01-2021,8000,Anaesthetics,Adult,65+, 0-3 Months,10
31-01-2021,8000,Anaesthetics,Adult,65+,15-18 Months,2
