Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total,
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,1,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  0-3 Months,36,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  3-6 Months,40,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  6-9 Months,20,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  9-12 Months,15,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15, 12-15 Months,16,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15, 15-18 Months,16,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,18+ Months,2,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  0-3 Months,4,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  3-6 Months,4,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  6-9 Months,4,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  9-12 Months,3,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64, 15-18 Months,3,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,18+ Months,2,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  0-3 Months,100,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  3-6 Months,106,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  6-9 Months,56,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  9-12 Months,43,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15, 12-15 Months,36,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15, 15-18 Months,13,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,18+ Months,5,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  0-3 Months,2,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  3-6 Months,2,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  6-9 Months,3,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  9-12 Months,1,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64, 12-15 Months,2,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64, 15-18 Months,1,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,18+ Months,3,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,1,
31-01-2018,1900,Paediatrics,Day Case,Child,16-64, 15-18 Months,1,
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,1,
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,1,
31-01-2018,1904,Neonatology,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,1904,Neonatology,Inpatient,Child,0-15,  9-12 Months,1,
31-01-2018,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  0-3 Months,38,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  3-6 Months,25,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  6-9 Months,13,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  9-12 Months,2,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15, 12-15 Months,1,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15, 15-18 Months,3,
31-01-2018,2000,Plastic Surgery,Day Case,Child,16-64,  0-3 Months,1,
31-01-2018,2000,Plastic Surgery,Day Case,Child,16-64,  6-9 Months,1,
31-01-2018,2000,Plastic Surgery,Inpatient,Child,0-15,  0-3 Months,10,
31-01-2018,2000,Plastic Surgery,Inpatient,Child,0-15,  3-6 Months,3,
31-01-2018,2000,Plastic Surgery,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,2000,Plastic Surgery,Inpatient,Child,0-15, 12-15 Months,1,
31-01-2018,2200,Radiology,Day Case,Child,0-15,  3-6 Months,3,
31-01-2018,2200,Radiology,Day Case,Child,0-15,  6-9 Months,1,
31-01-2018,2200,Radiology,Day Case,Child,0-15,  9-12 Months,1,
31-01-2018,2200,Radiology,Day Case,Child,0-15,18+ Months,1,
31-01-2018,2300,Nephrology,Inpatient,Child,0-15,  3-6 Months,1,
31-01-2018,2300,Nephrology,Inpatient,Child,0-15,  9-12 Months,1,
31-01-2018,2400,Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,2,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,20,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,23,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,10,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,10,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,14,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,5,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,18+ Months,25,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,16-64,  3-6 Months,1,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,1,
31-01-2018,2700,Infectious Diseases,Day Case,Child,0-15,  0-3 Months,1,
31-01-2018,7000,Dental Surgery,Day Case,Child,0-15,  0-3 Months,11,
31-01-2018,7000,Dental Surgery,Day Case,Child,0-15,  3-6 Months,13,
31-01-2018,7000,Dental Surgery,Day Case,Child,0-15,  6-9 Months,6,
31-01-2018,7000,Dental Surgery,Day Case,Child,0-15,  9-12 Months,3,
31-01-2018,7000,Dental Surgery,Day Case,Child,0-15, 12-15 Months,2,
31-01-2018,7000,Dental Surgery,Day Case,Child,0-15, 15-18 Months,2,
31-01-2018,7000,Dental Surgery,Day Case,Child,16-64, 15-18 Months,1,
31-01-2018,7000,Dental Surgery,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,7000,Dental Surgery,Inpatient,Child,0-15,  3-6 Months,2,
31-01-2018,7000,Dental Surgery,Inpatient,Child,0-15,  6-9 Months,4,
31-01-2018,7000,Dental Surgery,Inpatient,Child,0-15,  9-12 Months,3,
31-01-2018,7000,Dental Surgery,Inpatient,Child,0-15, 12-15 Months,2,
31-01-2018,7000,Dental Surgery,Inpatient,Child,16-64,  9-12 Months,1,
31-01-2018,7200,Paediatric Surgery,Day Case,Child,0-15,  0-3 Months,32,
31-01-2018,7200,Paediatric Surgery,Day Case,Child,0-15,  3-6 Months,17,
31-01-2018,7200,Paediatric Surgery,Day Case,Child,0-15,  6-9 Months,2,
31-01-2018,7200,Paediatric Surgery,Day Case,Child,0-15,  9-12 Months,6,
31-01-2018,7200,Paediatric Surgery,Day Case,Child,0-15, 12-15 Months,1,
31-01-2018,7200,Paediatric Surgery,Day Case,Child,0-15,18+ Months,2,
31-01-2018,7200,Paediatric Surgery,Day Case,Child,16-64,  0-3 Months,1,
31-01-2018,7200,Paediatric Surgery,Inpatient,Child,0-15,  0-3 Months,4,
31-01-2018,7200,Paediatric Surgery,Inpatient,Child,0-15,  3-6 Months,4,
31-01-2018,7200,Paediatric Surgery,Inpatient,Child,0-15,  6-9 Months,2,
31-01-2018,7200,Paediatric Surgery,Inpatient,Child,0-15,18+ Months,1,
31-01-2018,7700,Metabolic Medicine,Day Case,Child,0-15,  9-12 Months,1,
31-01-2018,7700,Metabolic Medicine,Inpatient,Child,0-15,  0-3 Months,3,
31-01-2018,7700,Metabolic Medicine,Inpatient,Child,0-15,  3-6 Months,1,
31-01-2018,7700,Metabolic Medicine,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,7700,Metabolic Medicine,Inpatient,Child,0-15, 12-15 Months,1,
31-01-2018,7700,Metabolic Medicine,Inpatient,Child,0-15, 15-18 Months,1,
31-01-2018,7800,Urology,Day Case,Child,0-15,  0-3 Months,31,
31-01-2018,7800,Urology,Day Case,Child,0-15,  3-6 Months,15,
31-01-2018,7800,Urology,Day Case,Child,0-15,  6-9 Months,11,
31-01-2018,7800,Urology,Day Case,Child,0-15,  9-12 Months,6,
31-01-2018,7800,Urology,Day Case,Child,0-15, 15-18 Months,1,
31-01-2018,7800,Urology,Day Case,Child,0-15,18+ Months,1,
31-01-2018,7800,Urology,Inpatient,Child,0-15,  0-3 Months,4,
31-01-2018,7800,Urology,Inpatient,Child,0-15,  3-6 Months,3,
31-01-2018,7800,Urology,Inpatient,Child,0-15,  6-9 Months,5,
31-01-2018,7800,Urology,Inpatient,Child,0-15,  9-12 Months,4,
31-01-2018,7800,Urology,Inpatient,Child,0-15, 12-15 Months,3,
31-01-2018,7800,Urology,Inpatient,Child,0-15, 15-18 Months,2,
31-01-2018,7800,Urology,Inpatient,Child,0-15,18+ Months,1,
31-01-2018,300,Dermatology,Day Case,Child,0-15,  0-3 Months,4,
31-01-2018,300,Dermatology,Day Case,Child,0-15,  3-6 Months,10,
31-01-2018,300,Dermatology,Day Case,Child,0-15,  6-9 Months,4,
31-01-2018,300,Dermatology,Day Case,Child,0-15, 15-18 Months,1,
31-01-2018,300,Dermatology,Day Case,Child,0-15,18+ Months,1,
31-01-2018,300,Dermatology,Inpatient,Child,0-15,  0-3 Months,2,
31-01-2018,300,Dermatology,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,12,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,3,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,3,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,6,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,4,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15, 15-18 Months,4,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,18+ Months,7,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,16-64, 12-15 Months,1,
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,16-64,18+ Months,1,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,20,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,11,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,10,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,12,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15, 12-15 Months,8,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15, 15-18 Months,15,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,18+ Months,42,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,16-64,  9-12 Months,1,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,16-64, 12-15 Months,2,
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,16-64,18+ Months,4,
31-01-2018,1300,Neurology,Day Case,Child,0-15,  3-6 Months,1,
31-01-2018,1300,Neurology,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,1300,Neurology,Inpatient,Child,16-64,  0-3 Months,1,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,69,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,52,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,46,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,41,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,29,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,26,
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,18+ Months,39,
31-01-2018,1700,Ophthalmology,Day Case,Child,16-64,  9-12 Months,1,
31-01-2018,1700,Ophthalmology,Day Case,Child,16-64, 12-15 Months,2,
31-01-2018,1700,Ophthalmology,Day Case,Child,16-64,18+ Months,2,
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,1,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  0-3 Months,51,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  3-6 Months,21,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  6-9 Months,35,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  9-12 Months,26,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15, 12-15 Months,26,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15, 15-18 Months,11,
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,18+ Months,54,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  0-3 Months,1,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  3-6 Months,1,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  6-9 Months,2,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  9-12 Months,7,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64, 12-15 Months,4,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64, 15-18 Months,2,
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,18+ Months,21,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  0-3 Months,37,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  3-6 Months,41,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  6-9 Months,35,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  9-12 Months,33,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15, 12-15 Months,13,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15, 15-18 Months,7,
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,18+ Months,43,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  0-3 Months,4,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  3-6 Months,1,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  6-9 Months,2,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  9-12 Months,1,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64, 15-18 Months,2,
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,18+ Months,9,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,53,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15,  3-6 Months,36,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15,  6-9 Months,75,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15,  9-12 Months,52,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15, 12-15 Months,39,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15, 15-18 Months,31,
31-01-2018,1900,Paediatrics,Day Case,Child,0-15,18+ Months,94,
31-01-2018,1900,Paediatrics,Day Case,Child,16-64,  3-6 Months,3,
31-01-2018,1900,Paediatrics,Day Case,Child,16-64,  6-9 Months,1,
31-01-2018,1900,Paediatrics,Day Case,Child,16-64, 12-15 Months,2,
31-01-2018,1900,Paediatrics,Day Case,Child,16-64,18+ Months,6,
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,1,
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15, 12-15 Months,1,
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,18+ Months,7,
31-01-2018,1900,Paediatrics,Inpatient,Child,16-64,18+ Months,2,
31-01-2018,1902,Paed Cardiology,Day Case,Child,0-15,  0-3 Months,89,
31-01-2018,1902,Paed Cardiology,Day Case,Child,0-15,  3-6 Months,42,
31-01-2018,1902,Paed Cardiology,Day Case,Child,0-15,  6-9 Months,9,
31-01-2018,1902,Paed Cardiology,Day Case,Child,0-15,  9-12 Months,17,
31-01-2018,1902,Paed Cardiology,Day Case,Child,0-15, 12-15 Months,6,
31-01-2018,1902,Paed Cardiology,Day Case,Child,0-15, 15-18 Months,4,
31-01-2018,1902,Paed Cardiology,Day Case,Child,0-15,18+ Months,4,
31-01-2018,1902,Paed Cardiology,Day Case,Child,16-64,  0-3 Months,4,
31-01-2018,1902,Paed Cardiology,Day Case,Child,16-64,  3-6 Months,2,
31-01-2018,1902,Paed Cardiology,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,1902,Paed Cardiology,Inpatient,Child,0-15,  3-6 Months,4,
31-01-2018,1902,Paed Cardiology,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,1902,Paed Cardiology,Inpatient,Child,0-15, 12-15 Months,1,
31-01-2018,1902,Paed Cardiology,Inpatient,Child,0-15,18+ Months,18,
31-01-2018,1902,Paed Cardiology,Inpatient,Child,16-64,  0-3 Months,1,
31-01-2018,1902,Paed Cardiology,Inpatient,Child,16-64,18+ Months,1,
31-01-2018,1903,Paed Oncology,Day Case,Child,0-15,  3-6 Months,1,
31-01-2018,1904,Neonatology,Inpatient,Child,0-15,  3-6 Months,2,
31-01-2018,1904,Neonatology,Inpatient,Child,0-15, 15-18 Months,1,
31-01-2018,1905,Paed Endocrinology,Day Case,Child,0-15,  0-3 Months,1,
31-01-2018,1905,Paed Endocrinology,Day Case,Child,0-15,  3-6 Months,1,
31-01-2018,1905,Paed Endocrinology,Day Case,Child,0-15,  6-9 Months,1,
31-01-2018,1905,Paed Endocrinology,Day Case,Child,0-15,  9-12 Months,4,
31-01-2018,1905,Paed Endocrinology,Day Case,Child,0-15, 12-15 Months,4,
31-01-2018,1905,Paed Endocrinology,Day Case,Child,16-64,  3-6 Months,1,
31-01-2018,1905,Paed Endocrinology,Day Case,Child,16-64, 12-15 Months,1,
31-01-2018,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  0-3 Months,4,
31-01-2018,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  3-6 Months,4,
31-01-2018,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  6-9 Months,1,
31-01-2018,1906,Paed Gastro-Enterol,Day Case,Child,0-15,  9-12 Months,4,
31-01-2018,1906,Paed Gastro-Enterol,Day Case,Child,0-15, 12-15 Months,3,
31-01-2018,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  3-6 Months,1,
31-01-2018,1906,Paed Gastro-Enterol,Day Case,Child,16-64,  9-12 Months,2,
31-01-2018,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,1906,Paed Gastro-Enterol,Inpatient,Child,0-15,  9-12 Months,1,
31-01-2018,1906,Paed Gastro-Enterol,Inpatient,Child,0-15, 12-15 Months,1,
31-01-2018,1907,Paed Haematology,Day Case,Child,0-15,  9-12 Months,1,
31-01-2018,1907,Paed Haematology,Day Case,Child,16-64,  6-9 Months,1,
31-01-2018,1907,Paed Haematology,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,1911,Paed Nephrology,Day Case,Child,0-15,  0-3 Months,3,
31-01-2018,1911,Paed Nephrology,Day Case,Child,0-15,  9-12 Months,1,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  0-3 Months,16,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  3-6 Months,8,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  6-9 Months,13,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,  9-12 Months,12,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15, 12-15 Months,10,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15, 15-18 Months,21,
31-01-2018,2000,Plastic Surgery,Day Case,Child,0-15,18+ Months,22,
31-01-2018,2000,Plastic Surgery,Day Case,Child,16-64,  3-6 Months,1,
31-01-2018,2000,Plastic Surgery,Day Case,Child,16-64,  6-9 Months,3,
31-01-2018,2000,Plastic Surgery,Day Case,Child,16-64, 12-15 Months,5,
31-01-2018,2000,Plastic Surgery,Day Case,Child,16-64, 15-18 Months,2,
31-01-2018,2000,Plastic Surgery,Day Case,Child,16-64,18+ Months,7,
31-01-2018,2000,Plastic Surgery,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,0-15,  0-3 Months,11,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,0-15,  3-6 Months,1,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,0-15,  6-9 Months,2,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,0-15, 12-15 Months,1,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,0-15, 15-18 Months,1,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,0-15,18+ Months,1,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,16-64, 12-15 Months,1,
31-01-2018,2003,Maxillo-Facial,Day Case,Child,16-64, 15-18 Months,1,
31-01-2018,2003,Maxillo-Facial,Inpatient,Child,0-15,  0-3 Months,4,
31-01-2018,2003,Maxillo-Facial,Inpatient,Child,0-15,  3-6 Months,5,
31-01-2018,2003,Maxillo-Facial,Inpatient,Child,0-15,  6-9 Months,1,
31-01-2018,2003,Maxillo-Facial,Inpatient,Child,0-15,  9-12 Months,2,
31-01-2018,2003,Maxillo-Facial,Inpatient,Child,0-15, 15-18 Months,1,
31-01-2018,2003,Maxillo-Facial,Inpatient,Child,16-64,  3-6 Months,1,
31-01-2018,2202,Paediatric Radiology,Day Case,Child,0-15,  0-3 Months,1,
31-01-2018,2400,Respiratory Medicine,Day Case,Child,0-15,  0-3 Months,9,
31-01-2018,2400,Respiratory Medicine,Day Case,Child,0-15,  3-6 Months,8,
31-01-2018,2400,Respiratory Medicine,Day Case,Child,0-15,  6-9 Months,1,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  0-3 Months,83,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  3-6 Months,57,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  6-9 Months,53,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,  9-12 Months,32,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15, 12-15 Months,26,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15, 15-18 Months,11,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,0-15,18+ Months,1,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,2,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,16-64,  9-12 Months,1,
31-01-2018,2400,Respiratory Medicine,Inpatient,Child,16-64, 12-15 Months,2,
31-01-2018,2500,Rheumatology,Day Case,Child,0-15,  0-3 Months,37,
31-01-2018,2500,Rheumatology,Day Case,Child,0-15,  3-6 Months,14,
31-01-2018,2500,Rheumatology,Day Case,Child,0-15,  6-9 Months,22,
31-01-2018,2500,Rheumatology,Day Case,Child,0-15,  9-12 Months,17,
31-01-2018,2500,Rheumatology,Day Case,Child,0-15, 12-15 Months,8,
31-01-2018,2500,Rheumatology,Day Case,Child,0-15, 15-18 Months,7,
31-01-2018,2500,Rheumatology,Day Case,Child,16-64,  0-3 Months,2,
31-01-2018,2500,Rheumatology,Day Case,Child,16-64,  3-6 Months,2,
31-01-2018,2500,Rheumatology,Day Case,Child,16-64,  6-9 Months,1,
31-01-2018,2500,Rheumatology,Day Case,Child,16-64,  9-12 Months,2,
31-01-2018,2500,Rheumatology,Day Case,Child,16-64, 12-15 Months,1,
31-01-2018,2500,Rheumatology,Day Case,Child,16-64, 15-18 Months,3,
31-01-2018,2500,Rheumatology,Inpatient,Child,0-15,  0-3 Months,1,
31-01-2018,2500,Rheumatology,Inpatient,Child,0-15,  3-6 Months,2,
31-01-2018,2600,General Surgery,Day Case,Child,0-15,  0-3 Months,38,
31-01-2018,2600,General Surgery,Day Case,Child,0-15,  3-6 Months,27,
31-01-2018,2600,General Surgery,Day Case,Child,0-15,  6-9 Months,31,
31-01-2018,2600,General Surgery,Day Case,Child,0-15,  9-12 Months,24,
31-01-2018,2600,General Surgery,Day Case,Child,0-15, 12-15 Months,11,
31-01-2018,2600,General Surgery,Day Case,Child,0-15, 15-18 Months,18,
31-01-2018,2600,General Surgery,Day Case,Child,0-15,18+ Months,9,
31-01-2018,2600,General Surgery,Day Case,Child,16-64,  0-3 Months,1,
31-01-2018,2600,General Surgery,Day Case,Child,16-64,  3-6 Months,1,
31-01-2018,2600,General Surgery,Day Case,Child,16-64,  9-12 Months,1,
31-01-2018,2600,General Surgery,Inpatient,Child,0-15,  0-3 Months,17,
31-01-2018,2600,General Surgery,Inpatient,Child,0-15,  3-6 Months,10,
31-01-2018,2600,General Surgery,Inpatient,Child,0-15,  6-9 Months,3,
31-01-2018,2600,General Surgery,Inpatient,Child,0-15,  9-12 Months,2,
